# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
9.486301369863001653e+00 -4.034123685704464335e-01 1.387004230292903761e+00 4.537411025224773464e-01 -1.991616284496501577e-01 4.763671348409654338e-01 -3.112245039158753612e-01
9.489041095890398125e+00 -4.035978184596539786e-01 1.386197829290001238e+00 4.547261722729539768e-01 -2.010454191190837736e-01 4.758972426486138829e-01 -3.142315224548149488e-01
9.491780821917796374e+00 -4.037830768726229924e-01 1.384888917331535518e+00 4.553619303170977073e-01 -2.029369627656213426e-01 4.753511675031467654e-01 -3.172741544488233978e-01
9.494520547945194622e+00 -4.039674151073673891e-01 1.383094922791071379e+00 4.556604901919203976e-01 -2.048298303135614729e-01 4.747273387203247430e-01 -3.194369148902498901e-01
9.497260273972592870e+00 -4.041510752354276481e-01 1.380833275542205474e+00 4.556339691263486813e-01 -2.067161257822874576e-01 4.740555547192368824e-01 -3.215824112419505276e-01
9.499999999999989342e+00 -4.043349145622945340e-01 1.378121400811768371e+00 4.552944800531640301e-01 -2.085941846126754817e-01 4.733447760369573487e-01 -3.233956732801611111e-01
9.502739726027387590e+00 -4.045183882637022332e-01 1.374976730230373034e+00 4.546541389525423638e-01 -2.104645482265690704e-01 4.725960952397776360e-01 -3.249896315925077106e-01
9.505479452054785838e+00 -4.047012618439667642e-01 1.371416686191668788e+00 4.537250596114189571e-01 -2.123268598081899106e-01 4.718056087845468594e-01 -3.264760646575666780e-01
9.508219178082184087e+00 -4.048830160712024173e-01 1.367458704186170326e+00 4.525193576651468375e-01 -2.141819082247770345e-01 4.709697673010377339e-01 -3.279771444885435927e-01
9.510958904109580558e+00 -4.050634293349724691e-01 1.363120204838005778e+00 4.510491486451630450e-01 -2.160305622285894345e-01 4.700875591237800299e-01 -3.294749205477166543e-01
9.513698630136978807e+00 -4.052427658267428456e-01 1.358418621953196848e+00 4.493265456512808287e-01 -2.178710017560484269e-01 4.691750882021014646e-01 -3.310859049864297576e-01
9.516438356164377055e+00 -4.054211662028409102e-01 1.353371381508765792e+00 4.473636639197896558e-01 -2.196980728720006881e-01 4.682552260419154400e-01 -3.327774736793552846e-01
9.519178082191775303e+00 -4.055987733439476717e-01 1.347931878096975788e+00 4.451286373681859199e-01 -2.215091039986955557e-01 4.673055771435182804e-01 -3.345905338897908754e-01
9.521917808219171775e+00 -4.057757547232218598e-01 1.342050883346779466e+00 4.425877955852879908e-01 -2.233109559517597875e-01 4.663175044108906486e-01 -3.365033494306127748e-01
9.524657534246570023e+00 -4.059521462449765528e-01 1.335750338417723393e+00 4.397563543060357683e-01 -2.251062210108614181e-01 4.652779712447909222e-01 -3.385631710840344422e-01
9.527397260273968271e+00 -4.061278812283666828e-01 1.329052182412557404e+00 4.366495280814263191e-01 -2.268949348518775611e-01 4.642181308558633868e-01 -3.407069584000509965e-01
